Prodotto (IT),Product (EN),Produit (FR),Producto (ES),Prezzo
Succo multifrutti brick Extra,Mixed fruit juices,Jus multifruits,Zumos multifrutas,0.55
Succo arancia Classic,Orange juices,Jus d'orange,Zumos de naranja,0.55
Acqua naturale Cristaline 50cl,Still water Cristaline,Eau plate Cristaline,Agua natural Cristaline,0.20
Acqua frizzante Perle,Sparkling water Perle,Eau gazeuse Perle,Agua con gas Perle,0.35
Coca-Cola sans sucres mini,Coca-Cola no sugar mini,Coca-Cola sans sucres mini,Coca-Cola sin azúcar mini,0.75
Coca-Cola Cherry mini,Coca-Cola Cherry mini,Coca-Cola Cherry mini,Coca-Cola Cherry mini,0.80
Cialde caffé L Or Espresso Pacco,L Or Espresso coffee pods pack,Capsules L Or Espresso pack,Cápsulas de café L Or Espresso,2.90
Nutella Biscuits,Nutella Biscuits,Biscuits Nutella,Galletas Nutella,3.65
Kinder Mini Snack,Kinder Mini Snack,Kinder Mini Snack,Kinder Mini Merienda,1.50
Bretzel mini tubo Dr Oetker,Mini pretzel tube Dr Oetker,Mini bretzels tube Dr Oetker,Mini pretzels tubo Dr Oetker,2.00
Mix noci LImpec,Nut mix LImpec,Mélange de noix L Impec,Mezcla de nueces LImpec,2.35
Mix frutta secca,Dried fruits mix,Mélange fruits secs,Mix de frutas secas,2.75
Mix anacardi/cranberries,Cashew/cranberries mix,Mélange cajou/canneberges,Mezcla anacardos/arándanos,3.65
Kinder Schokobons,Kinder Schokobons,Kinder Schokobons,Kinder Schokobons,4.95
Patatine Lay s Nature,Lay s Nature Chips,Chips Lay s Nature,Patatas Lay s Nature,0.35
